map_name,map_desc,lat,long
Asian | sushi | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/kiyadon-sushi-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Kiyadon Sushi",-6.178819444,106.7929167
Asian | chinese | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/nan-xiang-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Nan Xiang Kitchen",-6.178813889,106.7930056
Asian | sushi | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/sushi-point-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Sushi Point",-6.178813889,106.793
Asian | chinese | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/yen-pao-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Yen Pao",-6.178811111,106.7930056
Asian | bakmi | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bakmi-gm-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakmi GM",-6.177863889,106.7932278
Asian | sushi | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/hachi-hachi-bistro-1-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Hachi Hachi Bistro",-6.177622222,106.7899556
Asian | chinese | cost-4 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/may-star-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> May Star",-6.176977778,106.7906417
Asian | chinese | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/paradise-dynasty-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Paradise Dynasty",-6.1765,106.7908333
Asian | sushi | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/sushi-tei-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Sushi Tei",-6.176152778,106.7913056
Asian | bakso | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bebek-omahan-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bebek Omahan",-6.1748,106.7799444
Asian | bakmi | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/mientiam-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Mientiam",-6.173888889,106.7816611
Asian | chinese | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/mientiam-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Mientiam",-6.173888889,106.7816611
Asian | sushi | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/zushioda-tanjung-duren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Zushioda",-6.17385,106.7831806
Asian | indonesia | cost-2 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/grand-tropic-restaurant-grand-tropic-hotel-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Grand Tropic Restaurant - Grand Tropic Hotel",-6.171489,106.787731
Asian | sushi | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/tako-n-sushi-box-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Tako 'n Sushi Box",-6.169013889,106.7861472
Asian | chinese | cost-2 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/the-gallery-hotel-ciputra-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> The Gallery - Hotel Ciputra",-6.16866,106.787391
Asian | sushi | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/torico-restaurant-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Torico Restaurant",-6.168391667,106.7865528
Asian | indonesia | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/cireng-keraton-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Cireng Keraton",-6.168383333,106.7865667
Asian | chinese | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/pondok-hari-hari-tomang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Pondok Hari - Hari",-6.168347222,106.7968667
Asian | bakso | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bakmi-ayam-alok-1-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakmi Ayam Alok",-6.168303,106.786565
Asian | bakso | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/baso-malang-karapitan-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Baso Malang Karapitan",-6.168266667,106.7865056
Asian | bakso | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bakmi-ayam-alok-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakmi Ayam Alok",-6.168263889,106.7864528
Asian | chinese | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/chubby-taiwan-street-snacks-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Chubby Taiwan Street Snacks",-6.168113889,106.7864833
Asian | chinese | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/poppao-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Poppao",-6.168036111,106.7865667
Asian | chinese | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/dimsum-x-press-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Dimsum X-Press",-6.167233333,106.7866583
Asian | chinese | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/depot-rehobot-roxy?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Depot Rehobot",-6.16635,106.7991472
Asian | bakso | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bakso-solo-mas-ono-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakso Solo Mas Ono",-6.164261111,106.7932444
Asian | bakmi | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/mie-ayam-banyumas-bang-sopi-1-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Mie Ayam Banyumas Bang Sopi",-6.1641353,106.7968559
Asian | bakso | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bakso-bakwan-sejati-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakso Bakwan Sejati",-6.1641353,106.7968559
Asian | indonesia | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/casa-mie-bapak-suud-jelambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Casa Mie Bapak Su'ud",-6.157325,106.7913278
Asian | chinese | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bakmi-88-jelambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Kedai Kopi 88",-6.149744444,106.7800056
Asian | chinese | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/rm-rejeki-jelambar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> RM Rejeki",-6.149613889,106.7808444
Asian | bakmi | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/hot-cwie-mie-malang-jagakarsa?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Hot Cwie Mie Malang",-6.320719444,106.810875
Asian | bakso | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/bakso-bawang-malang-caksu-kumis-cempaka-putih?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakso Bawang Malang Caksu Kumis",-6.188627778,106.8623278
Asian | indonesia | cost-1 | Kota Jakarta Pusat,"<a href=""https://www.zomato.com/jakarta/bakso-bawang-malang-caksu-kumis-cempaka-putih?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakso Bawang Malang Caksu Kumis",-6.188627778,106.8623278
Asian | bakso | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bakso-lapangan-tembak-senayan-daan-mogot?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakso Lapangan Tembak Senayan",-6.151458333,106.7144167
Asian | chinese | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/pinang-sari-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Pinang Sari",-6.144547222,106.7062917
Asian | chinese | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/ameng-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> AMENG",-6.143716667,106.7069861
Asian | bakmi | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bakmi-naga-1-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakmi Naga Resto",-6.131497441,106.7039047
Asian | bakmi | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bakmi-gm-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakmi GM",-6.127138889,106.7133167
Asian | sushi | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/otosan-cengkareng?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Otosan",-6.126861111,106.7128528
Asian | bakso | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bakso-cinta-rasa-kebon-jeruk?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakso Cinta Rasa",-6.208558333,106.7833028
Asian | bakso | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bakso-88-kebon-jeruk?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakso 88",-6.202919444,106.7827139
Asian | chinese | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/yen-pao-1-kebon-jeruk?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Yen Pao",-6.191267,106.758044
Asian | bakmi | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bakmi-permata-kebon-jeruk?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakmi Permata",-6.190263889,106.7656694
Asian | bakso | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bakmi-joss-kebon-jeruk?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakmi Joss",-6.189666667,106.77
Asian | chinese | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/wotie-kedoya-kedoya?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Wotie Kedoya",-6.181880556,106.7578278
Asian | chinese | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/swike-kodok-jatiwangi-kedoya?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Swike Kodok Jatiwangi",-6.181808333,106.757775
Asian | bakmi | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bakmi-ko-hon-toboali-green-ville?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakmi Ko Hon Toboali",-6.174511111,106.7781833
Asian | bakso | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bakmi-ayam-alok-green-ville?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakmi Ayam Alok",-6.169911111,106.7654639
Asian | bakmi | cost-1 | Kota Jakarta Barat,"<a href=""https://www.zomato.com/jakarta/bakmi-permata-green-garden?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakmi Permata",-6.166333333,106.7631667
Asian | bakso | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/bakso-lapangan-tembak-senayan-fatmawati?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Bakso Lapangan Tembak Senayan",-6.264397222,106.7995389
Asian | indonesia | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/tombo-ngelih-pondok-indah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Tombo Ngelih",-6.262,106.7886667
Asian | sushi | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/ikuze-kemang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Ikuze",-6.258634,106.808717
Asian | sushi | cost-1 | Kota Jakarta Selatan,"<a href=""https://www.zomato.com/jakarta/sushi-tengoku-pondok-indah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1"">Link</a> Sushi Tengoku",-6.255132,106.790258
