id,name,cuisine,locality,lat,long,avg_rating,currency,cost_for_two,url
7424726,Kerang Kiloan Pak Rudi,streetfood,Fatmawati,-6.29976,106.794654,3.5,IDR,150000,https://www.zomato.com/jakarta/kerang-kiloan-pak-rudi-fatmawati?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7421733,Kerang Kiloan Pak Rudi,streetfood,Kebon Jeruk,-6.197427778,106.7659611,3.5,IDR,150000,https://www.zomato.com/jakarta/kerang-kiloan-pak-rudi-kebon-jeruk?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7423494,Kerang Kiloan Pak Rudi,streetfood,Pondok Aren,-6.270019444,106.7331083,3.6,IDR,150000,https://www.zomato.com/jakarta/kerang-kiloan-pak-rudi-pondok-aren?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18013409,Kerang Kiloan Pak Rudi,streetfood,Bekasi Timur,0,0,2.3,IDR,150000,https://www.zomato.com/jakarta/kerang-kiloan-pak-rudi-bekasi-timur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7423041,Delima Coffee,streetfood,Kebon Jeruk,-6.197497222,106.76525,3,IDR,150000,https://www.zomato.com/jakarta/delima-coffee-kebon-jeruk?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18136742,Pocitology,streetfood,Cibubur,-6.356449,106.890445,3.2,IDR,150000,https://www.zomato.com/jakarta/pocitology-cibubur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18252322,Kerang Kiloan Pak Rudi,streetfood,Grogol,0,0,0,IDR,150000,https://www.zomato.com/jakarta/kerang-kiloan-pak-rudi-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7426355,Cafe Tampomas,streetfood,Bogor Utara,0,0,0,IDR,150000,https://www.zomato.com/jakarta/cafe-tampomas-bogor-utara?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7422283,Queen,streetfood,Kemang,-6.255166667,106.8133333,0,IDR,150000,https://www.zomato.com/jakarta/queen-kemang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7408866,Martabak Pecenongan 43,streetfood,Kelapa Gading,-6.158847222,106.9066,3.7,IDR,140000,https://www.zomato.com/jakarta/martabak-pecenongan-43-kelapa-gading?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7421819,Martabak Pecenongan 43,streetfood,Pantai Indah Kapuk,-6.112536111,106.7429194,3,IDR,140000,https://www.zomato.com/jakarta/martabak-pecenongan-43-pantai-indah-kapuk?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7424096,Martabak Pecenongan 43,streetfood,Pecenongan,-6.163722222,106.8267056,3.9,IDR,140000,https://www.zomato.com/jakarta/martabak-pecenongan-43-pecenongan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18097596,NoMiNoMi Delight,streetfood,Rawamangun,-6.193736111,106.8930278,3.8,IDR,120000,https://www.zomato.com/jakarta/nominomi-delight-rawamangun?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18017344,Ropisbak Ghifari,streetfood,Rawamangun,0,0,2.4,IDR,120000,https://www.zomato.com/jakarta/ropisbak-ghifari-rawamangun?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7424511,The Cubite,streetfood,Serpong Utara,-6.243158333,106.6150361,2,IDR,120000,https://www.zomato.com/jakarta/the-cubite-serpong-utara?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18061422,The Cubite,streetfood,Meruya,-6.197702778,106.7452917,3.4,IDR,120000,https://www.zomato.com/jakarta/the-cubite-meruya?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7415687,Toko Kue Laras,streetfood,Cinere,-6.337375,106.7814472,0,IDR,20000,https://www.zomato.com/jakarta/toko-kue-laras-cinere?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7403525,Jamur Krenyess,streetfood,Thamrin,-6.184527778,106.8243722,0,IDR,20000,https://www.zomato.com/jakarta/jamur-krenyess-thamrin?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7417698,Cireng Keraton,streetfood,Bogor Timur,-6.621166667,106.8168333,0,IDR,20000,https://www.zomato.com/jakarta/cireng-keraton-bogor-timur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7416237,d' Potato,streetfood,Bekasi Selatan,-6.247333333,106.9911667,0,IDR,20000,https://www.zomato.com/jakarta/d-potato-bekasi-selatan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7419104,Verina Risoles,streetfood,Gajah Mada,-6.162177778,106.8181833,0,IDR,20000,https://www.zomato.com/jakarta/verina-risoles-gajah-mada?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7403304,Pojog Gorengan Mak Nyak,streetfood,Tanah Abang,-6.187333333,106.8155,0,IDR,20000,https://www.zomato.com/jakarta/pojog-gorengan-mak-nyak-tanah-abang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7421574,Sio 'n Co,streetfood,Tambora,-6.153772222,106.7957528,0,IDR,20000,https://www.zomato.com/jakarta/sio-n-co-tambora?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18267534,Gorengan Pak Sundari,streetfood,Gambir,0,0,0,IDR,20000,https://www.zomato.com/jakarta/gorengan-pak-sundari-gambir?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7412413,Pojok Risol Mantab,streetfood,Ciputat,-6.320647222,106.7460861,2.6,IDR,25000,https://www.zomato.com/jakarta/pojok-risol-mantab-ciputat?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7423492,Seblak Hejo,streetfood,Jatiasih,0,0,0,IDR,25000,https://www.zomato.com/jakarta/seblak-hejo-jatiasih?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18161672,Siomay Rire,streetfood,Serpong Utara,-6.286941667,106.666,0,IDR,25000,https://www.zomato.com/jakarta/siomay-rire-serpong-utara?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7412179,Edut Dut Risoles,streetfood,Serpong,-6.320191667,106.6850889,3.1,IDR,30000,https://www.zomato.com/jakarta/edut-dut-risoles-serpong?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18203342,Prima Rasa,streetfood,Kelapa Gading,0,0,2.9,IDR,30000,https://www.zomato.com/jakarta/prima-rasa-kelapa-gading?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
18024840,Martabak Imut Ndut,streetfood,Kelapa Gading,0,0,0,IDR,30000,https://www.zomato.com/jakarta/martabak-imut-ndut-kelapa-gading?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7402265,De' Comro,streetfood,Kuningan,-6.224333333,106.8265,0,IDR,30000,https://www.zomato.com/jakarta/de-comro-kuningan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7421573,Lolliwaffle,streetfood,Tambora,-6.153141667,106.7958833,3.1,IDR,30000,https://www.zomato.com/jakarta/lolliwaffle-tambora?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
